epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1149.98,0.99231,1.21407,1.26501,0.55043,0.71991,0.67484,0.40913,1.31387,1.20722,1.39474,0.000475982,0.000475982,0.000475982
2,2278.47,0.88723,0.87855,1.17032,0.7119,0.77684,0.78357,0.50341,1.27914,0.95442,1.30815,0.000858036,0.000858036,0.000858036
3,3390.34,0.78014,0.74139,1.10496,0.769,0.83059,0.85581,0.60365,1.00167,0.75925,1.14257,0.00114578,0.00114578,0.00114578
4,4503.14,0.6882,0.6424,1.05302,0.80362,0.86982,0.89847,0.67015,0.8866,0.64665,1.09416,0.00100459,0.00100459,0.00100459
5,5614.8,0.60723,0.55259,1.00789,0.86038,0.87361,0.91909,0.71819,0.82726,0.55491,1.04506,0.000863116,0.000863116,0.000863116
6,6742.08,0.55128,0.48346,0.97749,0.88497,0.87974,0.92688,0.73669,0.78136,0.52365,1.0138,0.000721645,0.000721645,0.000721645
7,7855.4,0.51426,0.43739,0.95883,0.89377,0.90116,0.94121,0.76595,0.75101,0.47933,0.99148,0.000580174,0.000580174,0.000580174
8,8964.7,0.47159,0.38674,0.93761,0.8972,0.91094,0.94672,0.78588,0.70644,0.44186,0.96542,0.000438703,0.000438703,0.000438703
9,10077.5,0.43414,0.3417,0.91829,0.9108,0.92346,0.95398,0.80137,0.68101,0.40788,0.95112,0.000297232,0.000297232,0.000297232
10,11187.3,0.40211,0.30208,0.90606,0.91434,0.92286,0.96055,0.81619,0.65446,0.3932,0.93796,0.000155761,0.000155761,0.000155761
