epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,582.245,0.98892,1.53247,1.19002,0.66653,0.70911,0.73175,0.44071,1.26417,1.18154,1.27386,0.000475631,0.000475631,0.000475631
2,1149.91,0.82217,0.79462,1.08749,0.74903,0.84701,0.85542,0.59309,1.01519,0.80711,1.14044,0.00085772,0.00085772,0.00085772
3,1707.73,0.75395,0.67439,1.0508,0.79957,0.82251,0.88639,0.6328,0.97788,0.74179,1.11592,0.00114549,0.00114549,0.00114549
4,2263.81,0.71093,0.61599,1.02559,0.77714,0.85795,0.88771,0.66872,0.8842,0.69655,1.05178,0.00100459,0.00100459,0.00100459
5,2825.63,0.63818,0.54246,0.99079,0.86976,0.85041,0.92083,0.71132,0.82899,0.59563,1.00874,0.000863116,0.000863116,0.000863116
6,3388.64,0.58724,0.4859,0.96707,0.88302,0.89565,0.94104,0.74795,0.78198,0.51451,0.97956,0.000721645,0.000721645,0.000721645
7,3954.13,0.54612,0.4403,0.94504,0.88157,0.91502,0.94863,0.7714,0.74236,0.47643,0.95768,0.000580174,0.000580174,0.000580174
8,4521.41,0.50804,0.40115,0.9294,0.88795,0.91989,0.95174,0.7839,0.7181,0.45316,0.94407,0.000438703,0.000438703,0.000438703
9,5085.78,0.47687,0.36536,0.91264,0.90848,0.92472,0.95723,0.80202,0.68231,0.42363,0.92711,0.000297232,0.000297232,0.000297232
10,5661.51,0.44701,0.33153,0.90169,0.92047,0.9174,0.96069,0.80921,0.6701,0.40475,0.91851,0.000155761,0.000155761,0.000155761
