epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,700.2,0.99207,1.58016,1.19122,0.61105,0.74627,0.72135,0.39009,1.43132,1.16655,1.43408,0.00047599,0.00047599,0.00047599
2,1399.18,0.87324,0.84404,1.11809,0.6866,0.63633,0.72602,0.42842,1.37087,1.1664,1.40644,0.000858043,0.000858043,0.000858043
3,2077.16,0.79935,0.73032,1.08141,0.76795,0.77664,0.81746,0.54532,1.08404,0.84979,1.18473,0.00114578,0.00114578,0.00114578
4,2760.92,0.72409,0.64345,1.04037,0.7998,0.82352,0.86618,0.64348,0.94804,0.68591,1.11144,0.00100459,0.00100459,0.00100459
5,3438.63,0.64982,0.56896,1.00254,0.87595,0.88005,0.92983,0.70295,0.83919,0.54236,1.05046,0.000863116,0.000863116,0.000863116
6,4106.59,0.5931,0.50566,0.97506,0.90139,0.89401,0.94036,0.74119,0.78368,0.50252,1.011,0.000721645,0.000721645,0.000721645
7,4775.25,0.55063,0.45256,0.95269,0.89552,0.90845,0.94471,0.74953,0.76473,0.47564,1.00428,0.000580174,0.000580174,0.000580174
8,5438.85,0.51216,0.41407,0.93591,0.91417,0.9101,0.95543,0.78276,0.71712,0.4279,0.97145,0.000438703,0.000438703,0.000438703
9,6104.81,0.47361,0.37592,0.91808,0.90322,0.93718,0.96152,0.79343,0.69549,0.40812,0.95559,0.000297232,0.000297232,0.000297232
10,6769.93,0.4402,0.3433,0.90385,0.92004,0.93306,0.96271,0.8052,0.66934,0.38698,0.94526,0.000155761,0.000155761,0.000155761
