epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,688.068,0.95701,1.04206,1.18636,0.69212,0.77756,0.76066,0.47837,1.15958,1.04474,1.24491,0.000475982,0.000475982,0.000475982
2,1357.09,0.83124,0.76181,1.10152,0.78338,0.84069,0.87526,0.60571,1.06704,0.7497,1.17351,0.000858036,0.000858036,0.000858036
3,2010.78,0.75177,0.6645,1.05903,0.83483,0.84944,0.89628,0.64739,0.95709,0.66325,1.09843,0.00114578,0.00114578,0.00114578
4,2673.25,0.67791,0.58668,1.01821,0.84404,0.86937,0.90876,0.68305,0.89715,0.59613,1.08449,0.00100459,0.00100459,0.00100459
5,3336.46,0.60271,0.51132,0.98109,0.86092,0.87747,0.92978,0.73318,0.78853,0.5386,1.00267,0.000863116,0.000863116,0.000863116
6,3980.24,0.5527,0.45895,0.9546,0.87334,0.90395,0.94362,0.75846,0.76677,0.49526,0.98767,0.000721645,0.000721645,0.000721645
7,4613.37,0.50784,0.41266,0.93359,0.90099,0.90977,0.94829,0.77928,0.7183,0.46539,0.94841,0.000580174,0.000580174,0.000580174
8,5251.57,0.47403,0.37416,0.92052,0.89707,0.92477,0.95259,0.79702,0.69183,0.43081,0.93957,0.000438703,0.000438703,0.000438703
9,5890.98,0.43799,0.33816,0.90411,0.91118,0.92684,0.95926,0.80814,0.67366,0.40437,0.93205,0.000297232,0.000297232,0.000297232
10,6532.52,0.40805,0.30247,0.89084,0.92479,0.92214,0.95792,0.81088,0.65963,0.39516,0.91801,0.000155761,0.000155761,0.000155761
